,body
2019,'مقامات و مسئولین محترم، عاجزانه التماس میکنیم در مورد بورس هیچگونه اظهار نظری نکنید، چه مثبت چه منفی، بخدا یه هفته ای شاخص برمیگرده....اینو همه جا نوشتم شاید صاحبش بخونه و دلش بحال سرمایه گذاران بسوزه.... علی برکت الله'
2020,'سلام این بورس کی باز میشه ؟؟ بابا باز شو منفی بخور فقط باز شو 
2021,اگر منفی شدی بازم اضافه می کنم.'
2022,'سود نقدی واریز نشده دوستان به بانک ملی مراجعه نکنن'
2023,'امروز خبر از نوبخت اعلام شد قرار بود 11 هزار میلیارد از بورس برای کسری بودجه بگیرند ایشان فرمودند انتظار نداشتیم باین راحتی بجای 11 هزار 35 هزار میلیارد از بورس بگیریم بعبارتی 90 درصد مبلغ بورس توسط دولت امید برداشته شد بهمین منظور بازار توان بالا رفتن قیمتها را ندارد ارزش سهام در پایینترین قیمت قراردارد این دولت دراخرین روزهای خود تمامی مبالغ مردم را دریافت کرد وجیب مردم را دراین شرایط سخت خالی نمود هر چه نفرین دارید به کاخ سفید بفرستید'
2024,'سلام
2025,قرار بود اول مهر سود سهام رو واریز کنن. به حساب کسی واریز شده؟'
2026,'خوب الان باید دست به دعا بشیم باز نشد امروز'
2027,'دوستان نماد بورس پورتفوی رو دو برابر کرده یعنی سهام جایزه داده سهام جایزه رو ارزونتر بهمون میدن درسته؟؟'
2028,'چه تاریخی سهم باز میشود کسی اطلاع داره ؟ حق تقدم هم بهمون تعلق میگیره ؟'
2029,'درسته دل خوشی از این نماد ندارم و همیشه ازش انتقاد میکرد ولی فکر کم کم موقع ورود به این نماد هست چون به اندازه کافی افت داشته.البته باید صبر کنیم تا باز بشه.
2030,نمادهای بزرگ بورسی مثل ثشاهد ، خگستر ، خودرو ، خساپا ، هجرت ، بورس ، شستا ، ذوب ، برکت ، زهراوی ، وملی و غیره که افت زیادی کردن و با افت نزدیک 50 در صد و یا بیشتر از 50 درصد دارند اول به دیدبانتون اضافه کنید و  تحت نظر داشته باشید و به موقعش اونایی که ارزش ورود دارند، ورود کنید.
2031,مثلا شصدف بعد از افت فاحش ناگهان رشد بزرگی کرد و حالا گرفتن سهم شصدف سخت شده.'
2032,'این سهم در زمان بازگشایی در حدود قیمت فعلی سهم #فرابورس که با هم همبستگی دارند مچینگ می شود.'
2033,'سهم ۱۰۰% افزایش سرمایه از محل سود انباشته و اندوخته قانونی داشته. تا حداکثر ۲ هفته بعد از زمان برگزاری مجمع می تونه باشه.'
2034,'درود بهترین تایم بازگشایی سهم بدون دامنه نوسان بعد از ارائه گزارشات ۶ ماهه سهم هست . امیدوارم قبل از بازگشایی گزارش جذاب و سود اورش رو روانه کدال کنند'
2035,'فک نکنم دیگه عمرمون قد بده باز شدنه شو ببینیم'
2036,'ایا کسی میدونه دلیل تاخیر دربازگشایی چه میتونه باشه مثل اینکه نگران از منفی شدن سهم را میدن فردا باید بدون هرگونه حاشیه سازی باز بشه'
2037,'سودشو کی می خاد بده؟؟؟ سهام جایزه کی اضافه میشه؟؟'
2038,'دوستان میدونید کی باز میشه'
2039,'قیمت ۴۰۶۴۰  قرار باز شه تو پرتفوی من نشسته'
2040,'سلام چرا باز نمیشه بفروشیمش فرابورس بخریم؟؟؟واقعا چرا؟؟'
2041,'از اساتید کسی اطلاع داره چرا سرمایه من نصف شده؟مگه سود جایزه ننشست رو پرتفوی؟'
2042,'این سهم در نیمه ی دوم سال 
2043,با این افزایش سرمایه و افشاهای الف سودهای سرشار 
2044,حدودا 1900% بازدهی خواهد داشت.'
2045,'سهام جایزه به پرتفوی اضافه شده'
2046,'فردا فک‌کنم‌باز بشه .ولی کاش بازار قرمز نباشه و باز شع '
2047,'خدا کنه تو بازار منفی باز نشه'
2048,'دستوری نمیذارن بورس از شاخص 2میلیارد بالاتر بره ..!
2049,حالا هی تحلیل بزارین و چکش و چنگال و کندل و ... رسم کنین فایده نداره..!😏
2050,فقط سهامتونو محکم داشته باشین تا سال بعد تا فرجی بشه و شاخص بالای 2میلیارد بره ..!✋'
2051,'کی این سهم باز میشه؟؟؟؟'
2052,'قیمت روز نماد فرابورس برادر کوچکتر بورس در زمان بازگشایی این سهم بسیار تعیین کننده خواهد بود . تا حالا که فرابورس خیلی خوب درخشیده'
2053,'دوستانی که اطلاع از وضعیت افزایش سرمایه و... ندارن چطوری امدن توو بورس دارن خرید و فروش انجام میدن؟!سوالات عجیب و غریب اینجا دیده میشه!'
2054,'خب خیلی از دوستان فرمودند چرا قیمت نصف شده و یا منفیشون دو برابر شده!
2055,باید عرض کنم خدمت همه سهامداران که شرکت بورس،دست به افزایش ۱۰۰٪ سرمایه از دارایی غیرنقدی زده و از اینرو به همه سهامداران،سهام جایزه تعلق گرفته که میتونن در سلمانه جامع ذینفعان بورس اون رو مشاهده کنند!(تبریک به همگی)
2056,منتها در کوتاه مدت سبب خواهد شد که قیمت با نصف قیمت قبل از افزایش سرمایه نشون داده بشه،از اینرو در پرتفوی و مبلغ اصل سرمایه شما،تغییری ایجاد نشده،منتها تبریک از آنجهت که این سهم به شدت افزایشی خواهد بود و سودآوری بسیار مناسبی برای همه سهامداران خواهد داشت!
2057,با تشکر'
2058,'این سهام ۸۷ درصد شناور یعنی مالک اصلی سهامداران هستند و شرکت بورس سهام دار جزء نمی تواند برای این سهم تصمیم گیری کنه باید گفت که با چه مجوزی برای این نماد تصمیم می گیرد و قیمت آن را تعیین می کند '
2059,'چرا باز نمیشه'
2060,'سال گذشته هم رشد اصلی بعد از افزایش سرمایه بوده پس منتظر رشد خوب سهم باشید.'
2061,'خوب شد امروز تو منفیا باز نشد'
2062,'تو پرتفوی من زده منفی هفتاد و صه درصد در حالیکه منفی۴۳ درصد بودم .سهم که هنوز باز نشده چرا اینطوری شده؟؟'
2063,'مقام آمریکایی: هدف ما مذاکره با ایران است نه تنش نظامی
2064,دستیار معاون وزیر خارجه آمریکا مدعی شد:
2065,🔹 مقابله با ایران باید چندجانبه باشد و ما باید تمام ابزارهای موجود برای تغییر رفتارهای ایران را به کار گیریم.
2066,🔹 هدف ما تنش نظامی نیست بلکه هدف ما آوردن ایران به میز مذاکره و اجرای گفت وگوهای حقیقی در رابطه با چگونگی تغییر رفتارهای آن است.'
2067,'با ۱۰۰ درصد باز خواهد شد...'
2068,'جاروبرقی۳۶۹ کجایی دلمون برای فاز های منفی گفتنت تنگ شده'
2069,'با 4500 باز میشه!!!!!'
2070,'عاقبت این باز گشایی بعد از ۴ ماه رشد نداشتن میشه ۵درصد روز باز گشایی و عدم تایید معاملات زمانی که قیمت ۱۴ هزارتومان دلار بود ۱۵ هزارتومان تومان حالا؟ ۲۹ دلار قیمت؟ ۸ت'
2071,'جاورق بزرگترین سهامدار این سهمه.'
2072,'روز بازگشایی احتمالا در حدود قیمتی فرابورس در آنروز باز شود 
2073,پس اگر این روزها فرابورس داره مثبت می خوره می توانیم امیدوارباشیم با قیمت خوبی باز شود'
2074,'در مورد بازگشایی احتمالا شنبه و حداکثر یکشنبه باز میشه به امید خدا و روز بازگشایی بین 20 تا 30 درصد مثبت میخوره با توجه به راه ندادن فرابورس'
2075,'بورس و هجرت این دوسهم اینقدر با طلا مقایسه اش میکردن.زد همه را نابود کرد'
2076,'آخرین قیمت قبل از مجمع ۸۱۵۷۰  ریال بود . ۳۰ تومن تقسیم سود شده و ۱۰۰٪ افزایش سرمایه . قیمت بازگشایی به نسبت قیمت قبل از مجمع میشه حدود ۴۰۶۳۵ ریال . قیمت بعد از مجامع به شکل حراج پیوسته است . قیمت سهم بعد از مجمع بستگی به تقاضا دارد . پیش بینی من حداقل ۵۵۰۰۰ ریال است فعلا و  در ادامه بستگی به حجم معاملات در روزهای و ماههای اینده داره . توی ۶ ماهه اول ۹۹ حدود ۷۰۰ میلیارد تومن خالص بعد از مالیات ساخته که نسبت به ۶ ماهه اول سال۹۸ حدود ده برابر شده . با ارسال گزارش ۶ ماهه اول در اخر مهرماه  منتظر افزایش قیمت عالی  سهام  خواهیم بود .'
2077,'سهام جایزه و سود مجمع تو پرتفوی لحظه ای نشست'
2078,'یک سهم مسخره و بدرد نخورد.من که از روی اجبار نگهش داشتم'
2079,'سهم پس از شکست پر قدرت کانال اول وارد کانال دوم خود شد و پس از چندین برخورد به سقف کانال الگوی کنج تشکیل داد و آن را به پایین شکست
2080,در اندیکاتور RSI هم شاهد شکست حمایت خود به پایین هستیم 
2081, همچنین سهم واگرای RD - منفی داده است 
2082,تا زمانی که سهم کف الگو خود (الگوی کنج ) را با قدرت به بالا نشکسته می توان این احتمال را داد که سهم تا هدف نخست خود ریزش خواهد داشت
2083,صرفا تحلیل بنده'
2084,'دوستان کدوم بانک مشخص شده واسه سود نقدی؟'
2085,'این سهم امسال خیلی ها را فوق ثروتمند خواهد کرد. 
2086,خیلی ها امسال از #بورس خانه دار می شوند.'
2087,'سلام 
2088,دوستان بنظرتان بورس کی بازگشایی میشه و با چه درصدی؟؟؟؟'
2089,'سلام 
2090,بنده دو روز قبل از  بسته شدن سهم رو خریدم آیا سود و افزایش سرمایه شامل بنده میشود . با تشکر '
2091,'انگار 30 تومن تقسیم سود میکنه و 100 در 100 افزایش سرمایه داده و سود سهام در اول مهر به حساب سجام ریخته میشه'
2092,'انگار شنیدم ۳۰تومن سود داده.افزایش سرمایه چی انجام شد؟'
2093,'دوستان شرح کامل مجمع رو کجا زده ببینیم'
2094,'دوستان مجمع چی شد؟'
2095,'آیا در جلسه بحث و جدلی هم شد؟ مثلا در خصوص نحوه عملکرد حقوقی های این سهم و تخلفات صورت گرفته.'
2096,'بورس افزایش سرمایه هم ۱۰۰ درصد داد'
2097,'#بورس تقسیم سود هر سهم ۳۰ تومان'
2098,'دوستان کسی از تصمیمات مجمع خبر داره؟'
2099,'سلام دوستان
2100,من ۱۳ ساله این سهم دارم یعنی از زمان پذیره نویسی خریدمش.
2101,تقریبا همیشه قیمت متعادلی داشته و اکثر سالها افزایش سرمایه از محل سود انباشته داره، در کل خیلی بیشتر سود بانکی بازدهی داره.'
2102,'این سهم بهترین حقوقی رو داره از اول نزاشته سهم بیخودی مثل بقیه بره بالا و الانم من فکر کنم راه انرژی رو بره ، موفق باشید '
2103,'من می گم چرا انرژی ۳ هروقت متوقف می شه بازار اصلاحه و هر وقت بازه ، بازار سبزه .این سئوال رو جوابش تو سایتtsemc و سابقه خرید و فروش با بازار تو تاریخ های سالهای قبل بررسی کنید . این رو چی می گی ...؟'
2104,'حقوقی عزیز 
2105,خداقوت بهت میگم 
2106,حجم مبنا رو پر کردی منفی ۵رو کامل بخوریم
2107,آه مردم دومن گیرت میشه'
2108,'دوستانی که می تونن برای مجمع برن و صدای سهم دار خرد رو فریاد بزنن ، چرا سهمی که مشخص شد بیستم مجمع داره رو تا یک روز قبل مجمع باز نگه داشتن . چرا وقتی تو مثبت بود مدام متوقف می شد و تومنفی یک روز نماد را برای حتی مسخره بازی نبستن . انرژی ۳ چند وقت نمادش بسته است . اون صاحب داره . سهام بورس و فرابورس و کالا بی صاحبه...'
2109,'خدا رحم کرد که امروز بسته میشه وگرنه تا 6800 جا داشت بیاد پایین'
2110,'حقوقی این سهم بیشترین خیانت رو درحق سهام داراش میکنه'
2111,'دوستان سلام
2112,دیگه آخر ریزش خودخواسته دولت و ایادیشه
2113,انشاءالله از فردا بازار برمی گرده
2114,لطفا دارا یکمتون را برای خرید دارا دوم تو این قیمت نفروشید سعی کنید پول جدید برای دارا دوم تو بورس بیارید انشاءالله حتما سود خوبی در مدت کوتاه میده.
2115,البته اینو نه برای دلسوزی داره دولت به مردم میده چون اولا تکلیف شده ثانیا  اگر قصدش خدمت بود مثل سهام عدالت مفت به مردم باقیمانده میداد ثالثا یک بخشیش رو میده و بیشترش رو پیش خودش نگه میداره  که به بهانه خدمت به ملت این سهم رو چند برابرش کنه بعد خودش سود بیشتر بدست بیاره دلیل این که سهامهای پالایش رو هم بسته و نمیذاره رشد کنه اینه که مردم زیاد استقبال نکنند تا نتونن سهمهای پالایشی رو تو کف بخرند و هم جلوی اقبال به دارا دوم بیشتر بشه ( زیرا اینا مثلا با یک میلیون خرید دارا دوم هم بهانه برای افزایش پیدا می کنند چرا بیشتر بفروشن که از جیبشون بیرون بره) و بتونه سایر بازار رو هم پایین بکشه که مردم ناامید و فروشنده بشن تا بتونن دولت و ایادیش جمع کنه بالاخره چند وقت دیگه باید برای انتخاباتشون نفر جمع کنند دیگه
2116,تعمدا دارند بازار رو تمام منفی می کنند و سیگنالهای ادامه دار بودن افت بازار میدن که هر کی ترسیده دربره و اینها تو کف بخرند
2117,یادتون باشه تا سهم رو نفروختید نه ضرر کردید نه سود
2118,انشاءالله با افشاء اطلاعات شرکتها زود ضررتون جبران میشه ولی با جبران ضرر اگر تازه واردید سریع خارج شوید و فقط با عرضه اولیه صبر کنید و اینطوری شما بهشون برگ بزنید که باز گرفتار این تله های دولتی و تخلیه جیب مردم نشید
2119,ضمنا بدونید تمام حقوقی ها و گردن کلفت های بورس قبلا ریزش خالی کردند لطفا بروید آمار فروش حقوقی ها قبل و کمی بعد از ریزش رو نگاه کنید فقط من و تو خرده سهامدار ضرر کردیم اونها تو اوج فروختند که کف بخرند 
2120,موفق باشید'
2121,'کاش یک ماه ببنده منفی نخوره'
2122,'گندش بزنند حقوقی این سهم روزی ۵۰۰۰۰۰هرار سهم میخره فقط برا حجم مبنا پر کردن'
2123,'اگر حتی شده برای یک، دو یا سه روز اجازه دهیم معاملات بدون محدودیت دامنه نوسان ولی با حجم مبنای ۲۰ برابر حجم مبنای فعلی انجام شود زمینه برای نجات کل بازار سرمایه ایجاد شده و نقطه عطفی برای اصلاح روندها خواهد شد. اجرایی شدن این طرح باعث رفع مشکلاتی مانند تشدید صف و قدرت کم حمایت کنندگان در برابر صف های فروش و به تعادل رسیدن بازار می شود و دغدغه ها از بین می رود. تقاضا از حقوقی ها برای حمایت از بازار که خود یکی از عوامل ایجاد چنین شرایطی در بازار شده اند اشتباه است'
2124,'هنوز از قدرت مافیایی سهامداران به ظاهر خرد خبر ندارند.
2125,فکر کردید بازار خودرو رو کی به هم ریخته.
2126,تادیر نشده حکومت بایستی آرامش را به بازار بورس برگردونه. وگرنه همه چیز از کنترلش خارج میشه.
2127,دلار و خودرو تازه اولشه.'
2128,'این چند روز حقوقی فقط خریده.حالا هی بفروشید'
2129,'به نظر من باید افرایش سرمایه رو ببرن بالا مثلا 300 درصد خوبه به هر حال این سهم تا آخر برج 9 قیمتش همینه اگه رشدی داشته باشه از برج 10 شروع میشه'
2130,'مگه این نماد افزایش سرمایه ۱۰۰درصدی نداره؟'
2131,'این نماد تو دوره رشد هر هفته ۲ روز توقف نماد داشت . الان با ۴۰ درصد ریزش و مجمع سه روز دیگه نمی بندنش ‌. بعد میگن فحش ندید . شما .... ترین هستید.'
2132,'حالا اگه بعد مجمع تعداد سهام دو برابر بشه و ارزش ریالیش کم بشه 
2133,این منجر به صف فروش میشه یا نه برا سهم خوبه و اوج میگیره؟؟؟؟'
2134,'به نظرتون اگه ۱۰۰ مثبت بده وقتی باز شد صف فروش میشه؟'
2135,'در روند نزولی سه پله داشته اگه سهم بخواد رشد کنه دیگه باید از امروز نهایت فردا رشد کنه این سهم چون شناوریش زیاده وبازار گردان درست وحسابی نداره وحقوقی ها انگیزه ای برای جمع کردن سهم برای مجمع ندارند'
2136,'من سر به سر م 10 تومنه . اگه سهام های دیگه م برن رو سود نهایتا تا بعد مجمع بورس با این میانگین کم میکنم ...'
2137,'معمولا افزایش سرمایه اگه از محل سود انباشته باشه موقع باز گشایی با ۱۰۰ درصد باز میشه و تمام ضررهاتون جبران میشه دوستان!اگه هم صبور باشین گپ خودشو بدید میانمدت پر میکنه و به سود خوبی میرسیم'
2138,'فعلا سهام شرکت‌های بزرگ.اگر دنبال جبران ضررهستید'
2139,'افزایش سرمایه۱۰۰درصدی یعنی مثبت ۱۰۰بمامیده؟این مجمع چ تاثیری بحال ماداره؟۴۰درصد توضررم'
2140,'من ک امروز  با ۳۵درصد ضررر فروختم رفت .اگه سود داد  مبارکتون '
2141,'دوستان سلام
2142,سهامداران عزیزی که می خواید بیاد تو این سهم
2143,این سهم تا وقتی اوضاع بازار مثبت نشه قرار نیست بالا بره
2144,بی خودی تحت تاثیر یک عده وارد نشوید و توصیه می کنم میانگین هم کم نکنید که سرتون کلاه میره
2145,بگذارید بازار تثبیت بشه
2146,نترسید این سهم 86% شناوری داره لذا هر وقت بخواید می تونید وارد شوید
2147,یک عده می خوان در برن دنبال مشتری می گردن
2148,اگر تو ضرر زیاد هستید سهامداری کنید و گرنه یا تهاتر با سهمهای دولتی کنید یا بفروشید و دست نگه دارید تا بازار مثبت شود این موضوع ممکنه زمانبر باشه و تواین فاصله ممکنه 20 درصد و حتی بیشتر هم ضررتون بیشتر شود
2149,به هر حال اسیر نوسانگیرها نشوید که صبح با تبلیغات کاذب به امثال ما می اندازند بعد -5 میزنند و دوباره با تبلیغات برای فردا همین داستان رو انجام میدن
2150,اگر می خواید بمونید آگاهانه سهامداری کنید و اگر می خواید وارد شوید هیجانی وارد نشوید که فکر کنم رشد شارپی که چه عرض کنم رشد منطقی هم حالا حالاها خبری نیست'
2151,'ی نگاه به فروش ها بندازید، تعداد ۱ یا ۲ یا نهایت ۵ و حجم فروش ۱۰۰ تا ۱۰۰۰ .
2152,به غیر از جمع آوری سهم و زدن تو سر سهم برای مفت خریدن چه چیز دیگه ای به نظر شما می‌رسه ؟
2153,این دیگه سهام دار خرد نیست که از ۱۰ شهریور گفتن مجمع ۲۰ شهریور . کدوم بی فکری میاد تو منفی آتیش به دارایش بزنه .
2154,مجمع تیرماه قیمت تا ۱۵ تومن رفت . اگه کسی تو اون قیمت میفروخت بلاخره یک تفکری پشتش بود و با اون قیمت .
2155,الان من و تو که قرار افزایش سرمایه از سود انباشته (سهام جایزه) بدن تو قیمت مفت میفروشیم .
2156,یا من درک نمی کنم یا من درک نمی کنم ؟'
2157,'اقای کریمی هم دوست سم پاشمون ایشالا شمام سر به سر شی فقط زودتر بری'
2158,'من فک کنم نماد بورس تا عید منفی باشه با چند نفردیگه هم صحبت کردم همین نظرو داشتن.
2159,بعید میدونم بورس مثبت بشه دیگه'
2160,'تا آخر شهریور همینه خدا رو شکر که بورس آخر هفته بسته میشه'
2161,'با توجه به قرمز بودن همیشگی نماد بورس
2162,نمادهای که امروز مثبت بودن
2163,فسدید. دارایکم. وتجارت. فولاد. فخوز. غزر. ثبهساز. ذبگیلان. ذشاروم. ذزملارد. ذبپیوند. ولپارس. ذرافزا. ذگدنا. ذداریک. فارس. ومعادن. عفولاد3. فملی. فولاژ. شصدف. سباقر. کصدف. نگین. وساخت. خعمرا. ثنظام. وسکاپ. وخاور. وپاسار. وبصادر. وسپه. وزمین. وغدیر. وبانک. بذر. افق ملت. اطلس. گنجین. سخند. آکورد. کاردان. ومهان. لوتوس. تاصیکو. اعتماد. پارسان. پلوله. شفن. دارو. تیپیکو. دلر. قجام. قشرین. قچار. غدام. غشهداب. امین. وسخراج. کاوه. کرزای. شکلر. وهور. بکهنوج. تپولا. غگیلا. غویتا. غدام. قجام. قچار. غاذر. نوین. اتکای. اتکام. وبیمه. وآفری. ثدبیر. ثنظام.فرآور.فسازان
2164,اگه چیزی از قلم انداختم زیر پیام (پاسخ) بنویسد'
2165,'مشک آنست که خود ببوید نه آنست که عطار بگوید
2166,به حرف ها و سیگنال های فریبنده دیگران توجه نکنید و خودتون را بدبخت نکنید'
2167,'همچنان منفی و بدرد نخور'
2168,'سهم #بورس چنان واگرایی مثبتی داده که به طرز عجیبی قیمت این سهم را تا 100 هزار تومان میرساند. به نظر پس از تجدید ارزیابی 100% در مرحله اول  تجدید ارزیابی 200% نیز دارد. سهمی فوق العاده پر سود در روزهای آینده'
2169,'کاش ببندنش این ککه مال را حداقل'
2170,'امروز مثل نمک غذا ی خورده اضافه کردم ...'
2171,'بنده تقریبأ ۳ سال میشه که این سهام رو دارم و فقط میدونم که باید صبر داشت ولی این چند وقت بازیگردان بورس خیلی بد عمل کرده .
2172,زمانی که بازار مثبت بود ، بورس صف فروش بود
2173,زمانی هم که بازار منفی بود ، بورس زودتر از همه صف فروش بود.
2174,الان در این شرایط که سهم ۲۰ شهریور مجمع داره باید تو این بازار منفی سهم رو ببندن و نزارن سهم با این قدرت هی تو سرش بوخوره.'
2175,'لطفا با یه روز اول وقت سبز دیدن بازار جو زده نشیم و صحبت های نجومی نکنیم برای سلامتی خیلی مفیده '
2176,'استارت بورس از 20 شهریور تا اسفندماه حداقل 2000% سود. شگفت انگیزترین سهم بازار با درآمد وحشتناک'
2177,'کرونا نگیریم صلوات'
2178,'اگه تحلیل تکنیکال جواب نده پس اتحاد'
2179,'شاخص احتیاج به مشک داره اتحاد'
2180,'یعنی فیبیوناچی سیستم شاخص پیدا کنند'
2181,'برو'
2182,'بورس صبوری میخواد'
2183,'کسانی که صبوری کردن مزد صبوریشون را خواهند گرفت اونایی هم که شش ماهه به دنیا اومدن که امیدوارم ضرر نکرده باشن !!!'
2184,'شنبه باز قرارشده حقوقی حمایت کنه ولی لطفا نه بخرید نه بفروشید بذارید خودش هر کاری دوست داره بکنه با خودشون بازی کنن و نوسان از شما نگیرن و تصمیم بگیرن که بازار باید بالا بره میتونن سود کنن'
2185,'فروشنده نبودم و نیستم هرگز..  
2186,بورس فروشی نیست.. بورس رو فقط باید ریز ریز مثل نمک غذا خرید...'
2187,'بنظر من تو هر سهمی خروج بزنی. کیش و مات میشی'
2188,'دوستان سلام
2189,توصیه های برادرانه به سهامداران خرد تازه وارد
2190,1- در این بازار خراب اگر در سهمی در سود هستید بفروشید و اگر در ضرر هستید نفروشید ولی میانگین کم نکنید چون بیشتر گرفتار  می شوید
2191,2- اگر سهمهایی دارید که ضررش با سهمهای دولتی(دارا دوم) برابری می کنند این سهمها را با سهمهای مذکور تهاتر کنید چون متاسفانه سیاستهای کثیف دولت در هدایت سرمایه ها به سمت سهامهای دولتی خود ادامه دارد 
2192,3- گوشتون بدهکار تحلیل های آبکی و توجیه گرانه تحلیلگرهای تکنیکال نباشد چون بازار ما اصلا شرایط این گونه تحلیل را ندارد بازاری کاملا غیرآزاد و رانتی .
2193,4- تا وقتی سهم نفروشید نه سود کردید نه ضرر. لذا سهامداری کنید تا بازار برگردد .مگر مواردی قابل تهاتر با سهامهای دولتی هستند
2194,5- ترجیحا سهم های دارای بنیاد قوی و حقوقی های قدر خریداری کنید که علیرغم همه پدرسوخته بازی بازیگردان ها و حقوقی های سهم، ناگزیر به رشد است.
2195,6- فعلا سراغ سهمهای خصوصی نروید که متضرر می شوید 
2196,7- اگر صبر ندارید و رفتار هیجانی دارید در اولین فرصت از بورس خارج شوید که دیگه خبری از سودهای انچنانی نیست
2197,8- سعی کنید با سود سهامتان در بازار دیگه چون طلا ، ارز ، خودرو و ملک و یا کالا سرمایه گذاری کنید چون هرچی بخرید اول بالاخره فیزیک دارد ثانیا در بلند مدت سود می کنید ولو کمی کمتر ولی مطمئن تر
2198,9- خیلی به بازار سرمایه در بلند مدت امیدوار نباشید چون بازار ما رانتی ، کثیف و پر از التهاب است لذا هدفگذاری میان مدت برای حضور در بازار سرمایه کنید و وقتی به هدفتان رسید خارج شوید و اگر تصمیم به بازگشت داشتید با سود کسب شده وارد شوید نه با اصل سرمایه(مگر اینکه در جرگه اهل رانت باشید)
2199,10- به آمار و نسبت خرید و فروش حقیقی و حقوقی (از نظر حجم و تعداد افراد) بسیار دقت کنید که  بهترین کمککار شما برای ورود و خروج از سهم استوار است حتما سوابق 15 روز الی یک ماهه سهم را زیر نظر بگیرید هر سمت که تعداد معامله گر کمتر و نسبت حجم بیشتری داشت (خصوصا حقوقی) اون سمت باید اقدام شما باشد یعنی اگر تعداد معامله گر خریدار کمتر از فروشنده باشد یا درصد حجم بیشتر داشت یعنی بخر و گرنه بفروش.حتما آمار حقیقی و حقوقی را همگن کنید وبعد سوابق چند روزه آن را زیر نظر بگیرید بعد تصمیم به خرید یا فروش بر اساس منطق فوق بگیرید.
2200,11- اگر علم ندارید و باتجربه بورس نیستید از نوسانگیری اجتناب کنید.
2201,12- کمی صبور باشید و البته برای هر سهم حد سود و ضرر تعریف کنید و نگذارید سودتان در یک سهم متورم شود چند روز یکبار آن را خالی کنید و بخشی را خارج از بازار سرمایه ، سرمایه گذاری کنید که بعدا دلتون نسوزد. همین الان کلی سهامدار هستند که افسوس می خورند که کاش سودم را خالی کرده بودم
2202,13- وقت خودتون رو برای علت تراشی سقوط و صعود نکنید بیشتر این تحلیلها برای گول زدن من و تو هستند که سهم را در اوج جذاب می کنند یا در کف بدگویی و ناامید می کنند می خواهند بیشتر ما رو بدوشند عموم تحلیلگران عامل التهاب بازار و گمراهی سهامداران خرد هستند
2203,14- هیچ وقت ابتدا و انتهای بازار خرید و فروش نکنید(البته اگر نوسانگیر نیستید) که اسیر معاملات هیجانی می شوید بگذارید در شرایط ثبات بازار خرید و فروش کنید
2204,15- بیشتر مشکلات بازار نتیجه سوء تصمیم گیری و منفعت طلبی دولت است
2205,16- امیدوار باشید ولی با تفکر و تحلیل. سعی کنید منطق درستی برای ورود و خروج خود در سهم تعریف کنید و بیشتر به سوابق سهم که حقایق هستند اعتماد کنید تا شنیده ها و خواننده ها
2206,17- کم ریسک ترین کسب درآمد در بورس، عرضه اولیه است سعی کنید برای همه اعضاء خانواده اکانت بگیرید و با سود عرضه اولیه ، سود مطمئن اگر چه کم بدست آورید و بعضا مثل شستا و شگویا و ... سود خوبی دارند و برای اعضاء خانواده نفروشید نگاه بلند مدت داشته باشید که برای آینده اعضاء خانواده بسیار قابل توجه می شود به لطف افزایش سرمایه پی در پی در طی سالیان مختلف
2207,موفق باشید'
2208,'خبرگزاری فارس
2209,آقای رئیسی به داد سهامداران بازار بورس برسید
2210,با توجه به اینکه بازار سرمایه در هفته‌های اخیر به دلیل ناهماهنگی و اتخاذ تصمیمات کارشناسی نشده از سمت دولت و ایجاد اختلاف در تصمیمات دولتی، که مقصر تماما دولت بود، با اصلاح شدیدی روبرو شد، مسئولین ذیربط برای تسکین عموم حال مردم در رسانه‌ها اعلام کردند که ما و دولت حمایت خود را طی ۱۰ روز از بازار سرمایه انجام خواهیم داد و هسته معاملاتی بازار را ارتقای چشمگیر خواهیم داد،این در حالی است که بعد از گذشت تنها دو روز از حمایت حقوقی‌ها، بازار باز هم با عرضه‌های آبشاری و سنگین روبرو شد و آن سهم‌هایی که شاخص‌ساز بودند و قول برگشت بازار را با آنها داده بودند، هم منفی شدند و در صفوف سنگین فروش عمیقا فرو رفتند. از آنجاییکه ریاست محترم قوه قضائیه جناب آیت الله رئیسی در بیانات خودشان فرمودند مردم اعلام جرم کنند ما پیگیری شدید می‌کنیم؛ لذا بر حسب مطالب و شواهد عینی در بازار سرمایه خواستار رسیدگی به این فساد علنی حقوقی‌ها در عدم حمایت از بازار سرمایه و از بین رفتن سرمایه هنگفت مردم عادی، هستیم. آقای رئیسی به داد بازار سرمایه رسیدگی بفرمایید، ما منتظر پاسخ حضرتعالی در اسرع وقت می‌باشیم'
2211,'سلام. دوستان من کارگزاریم آگاهه . می خواستم پالایشی یکم بخرم اما به اشتباه خرید این سهم رو به صورت آفلاین زدم. بعد که دوستان گفتن باید آنلاین بزنی سفارش رو کنسل زدم و نوشت انصراف در جریان ، حالا نه پول برگشته بتونم به صورت آنلاین ثبت انجام بدم و نه وضعیت خرید آفلاین معلومه. دوستان لطفن راهنمایی کنید چون پول نیست که دوباره ثبت بزنم. 
2212,خیلی ممنون'
2213,'بادرود
