,body
127,۴- شایان ذکر است در چند ماه اخیر که همه نا امید از صعود شاخص بودند احتراما امروز اعلام می شود که شاخص ابرکموی خود را عبور کرد که می توان از امروز به بعد منتظر ورود پول های بسیار بزرگ و صعود شاخص و ادامه آن تا خردادماه سال ۱۴۰۱ باشیم .
128,امروز ۱۶ اسفند ماه ۱۴۰۰'
129,'تا میدلاین میره'
130,'دیگه بالای ابر شاخص هستیم و فقط سهامداری می تونه بهترین گزینه باشه.
131,جهت به سمت خداست.'
132,'کندل عالی و پرقدرت امروز نشان از تغیر روند سهم رو میده .... مناسب خرید 👌👌'
133,'اهداف معلوم شدن'
134,اسم نماد : کباده
135,"برای اطلاعات بیشتر تو رهاورد "" کباده "" رو سرچ کنین"
136,سهم سوپرمفت که چندین برابر پایین تر از ارزش ذاتیش معامله میشه
137,و میتونه سود خیلی بزرگی نصیبتون کنه 👌✈'
138,'شنبه سهم رو جمع میکنن ، یکشنبه شروع پر قدرت فراکاب ها'
139,'احتمالات تکنیکالی: نظر فعلا میشه روندش رو افزایشی در نظر گرفت...'
140,'سازمان بورس می‌خوان این سهم بکشند بالا برگردونند به قیمت 3000تومن خودش
141,افرادی هستن که اطلاع دارن'
142,'متاسفانه حقوقی ظاهرا نمیخواد بذاره مقاومت763 تومن رو راحت رد کنه و تو این محدوده آبشاری میفروشه'
143,'اضافه کنم : {جمله می بخشید توضیحات بیشتر ندادم } چیز نمی نمی خواستم بگم . فقط بخاطر دید تکنیکالی بود. و می توان گفت روند بازار پایین نگران کننده ای نداره و روند باشیب ملایم افزایشی است .'
144,'باسلام نماد بورس
145,احتمالات تکنیکالی : اگر بتواند مقاومت اصلی بالای خود را که در همین محدوده ی تابلوی امروز است عبور کند و بعد تثبیت و افزایش تقاضا و حجم  آنگاه می تواند وارد کانال افزایشی بالای سر خود شود. می بخشید توضیحات بیشتر ندادم.'
146,'دوست دارم همه سرمایه زندگیمو بدم این سهم یهو میبینی از فرش به عرش میبردت'
147,'یهو رنج کشید ، توی کف هست ... به نظرم دارن جمع میکنن سهم رو .. خیلی اذیت کرده باید یه بالا بزنه'
